nickname,installation_type,design,size_in_awg,size_in_kcmil,size_in_mm2,temperature_in_celsius,spacing_in_inches,conduit_type,resistance_dc_in_ohms_per_kilofoot,resistance_ac_in_ohms_per_kilofoot,reactance_capacitive_in_megohm_per_kilofoot,reactance_inductive_in_ohm_per_kilofoot,ampacity_in_amps,brand_name,item_number,model_number,cost_in_dollars_per_foot,product_uri
turkey,overhead,acsr,6,26.3,13.3,20,12,,0.642,,0.751,,105,,,,,
turkey,overhead,acsr,6,26.3,13.3,25,12,,,0.655,0.751,0.12,105,,,,,
turkey,overhead,acsr,6,26.3,13.3,50,12,,,0.75,0.751,0.139,105,,,,,
turkey,overhead,acsr,6,26.3,13.3,75,12,,,0.816,0.751,0.144,105,,,,,
swan,overhead,acsr,4,41.7,21.2,20,12,,0.403,,0.715,,140,,,,,
swan,overhead,acsr,4,41.7,21.2,25,12,,,0.412,0.715,0.115,140,,,,,
swan,overhead,acsr,4,41.7,21.2,50,12,,,0.479,0.715,0.131,140,,,,,
swan,overhead,acsr,4,41.7,21.2,75,12,,,0.522,0.715,0.137,140,,,,,
swanate,overhead,acsr,4,41.7,21.2,20,12,,0.399,,0.71,,140,,,,,
swanate,overhead,acsr,4,41.7,21.2,25,12,,,0.407,0.71,0.113,140,,,,,
swanate,overhead,acsr,4,41.7,21.2,50,12,,,0.463,0.71,0.124,140,,,,,
swanate,overhead,acsr,4,41.7,21.2,75,12,,,0.516,0.71,0.13,140,,,,,
sparrow,overhead,acsr,2,66.4,33.6,20,12,,0.253,,0.678,,185,,,,,
sparrow,overhead,acsr,2,66.4,33.6,25,12,,,0.259,0.678,0.11,185,,,,,
sparrow,overhead,acsr,2,66.4,33.6,50,12,,,0.308,0.678,0.123,185,,,,,
sparrow,overhead,acsr,2,66.4,33.6,75,12,,,0.336,0.678,0.128,185,,,,,
sparate,overhead,acsr,2,66.4,33.6,20,12,,0.251,,0.674,,185,,,,,
sparate,overhead,acsr,2,66.4,33.6,25,12,,,0.256,0.674,0.109,185,,,,,
sparate,overhead,acsr,2,66.4,33.6,50,12,,,0.297,0.674,0.118,185,,,,,
sparate,overhead,acsr,2,66.4,33.6,75,12,,,0.33,0.674,0.121,185,,,,,
robin,overhead,acsr,1,83.7,42.4,20,12,,0.201,,0.66,,210,,,,,
robin,overhead,acsr,1,83.7,42.4,25,12,,,0.206,0.66,0.107,210,,,,,
robin,overhead,acsr,1,83.7,42.4,50,12,,,0.247,0.66,0.119,210,,,,,
robin,overhead,acsr,1,83.7,42.4,75,12,,,0.27,0.66,0.122,210,,,,,
raven,overhead,acsr,1/0,106,53.5,20,12,,0.159,,0.642,,240,,,,,
raven,overhead,acsr,1/0,106,53.5,25,12,,,0.163,0.642,0.104,240,,,,,
raven,overhead,acsr,1/0,106,53.5,50,12,,,0.197,0.642,0.114,240,,,,,
raven,overhead,acsr,1/0,106,53.5,75,12,,,0.216,0.642,0.116,240,,,,,
quail,overhead,acsr,2/0,133,67.4,20,12,,0.126,,0.624,,275,,,,,
quail,overhead,acsr,2/0,133,67.4,25,12,,,0.13,0.624,0.102,275,,,,,
quail,overhead,acsr,2/0,133,67.4,50,12,,,0.162,0.624,0.112,275,,,,,
quail,overhead,acsr,2/0,133,67.4,75,12,,,0.176,0.624,0.113,275,,,,,
pigeon,overhead,acsr,3/0,168,85,20,12,,0.1,,0.606,,315,,,,,
pigeon,overhead,acsr,3/0,168,85,25,12,,,0.103,0.606,0.0992,315,,,,,
pigeon,overhead,acsr,3/0,168,85,50,12,,,0.121,0.606,0.108,315,,,,,
pigeon,overhead,acsr,3/0,168,85,75,12,,,0.145,0.606,0.109,315,,,,,
penguin,overhead,acsr,4/0,212,107,20,12,,0.0795,,0.597,,365,,,,,
penguin,overhead,acsr,4/0,212,107,25,12,,,0.0822,0.597,0.0964,365,,,,,
penguin,overhead,acsr,4/0,212,107,50,12,,,0.107,0.597,0.105,365,,,,,
penguin,overhead,acsr,4/0,212,107,75,12,,,0.116,0.597,0.105,365,,,,,
